file,exp,excerpt,text,time,place,listening_to,environment,listener,listener_label,type,instrument,genre
musicallettersf00unkngoog_djvu.txt,http://data.open.ac.uk/led/lexp/1449011557797,http://data.open.ac.uk/led/source/d056a211aabb93931825903e00af4612/excerpt/0dce3112f7e827dabd0028ff1e73ae0c,"In the evening we went to the Wickliffe Chapel, Commercial Road, East, Rev. Andrew Reed, D.D., pastor. Dr. Reed was in America several years since, in company with Mr. Matheson, now no more. In the singing exercises, the hymn was lined out. The choir (so called) consisted of several men who occupied a square pew in front of the pulpit The first tune was Dr. Arnold’s Wareham, abridged; the second Was French (Dundee), and the third I knew not, but it was unfit for Congregational use, as it went up to G and dwelt there considerably. No small effort was made by good people around me to reach the lofty eminence, but in vain; most voices fell short of the pitch, and vibrations inharmonious followed. The hymn was that beginning,
“No more, my God, I boast no more,Of all the duties I have done.”
The tune Hamburg, in the key of E flat, would have suited it exactly.",1852-10-uu,http://data.open.ac.uk/led/place/4fa5c75d00831df044b0759b967dcdc4,http://data.open.ac.uk/led/performance/9caa69bb712dd24662944534a4a15889/1449011545376,Public Accompanied Indoor,http://data.open.ac.uk/led/agent/Andrew+Reed/1449011351896 http://musicbrainz.org/artist/f422b99a-b48c-4bee-bc0c-f2e8cad82b6c#_,Andrew Reed Dr. Lowell Mason Lowell Mason,Performance,http://data.open.ac.uk/led/thing/congregation http://dbpedia.org/resource/Choir,http://dbpedia.org/resource/Hymn
recollectionsofo00ryanuoft_djvu.txt,http://data.open.ac.uk/led/lexp/1450198228374,http://data.open.ac.uk/led/source/872a0e96507f39c7769116cfbf918fc9/excerpt/c056add6be85f5dfdf31e3ec089585d3,"&nbsp;


Jullien was performing a piece entitled Night —I cannot now give the composer’s name. At the beginning the audience was told, either orally or by printed notice, that there might be some startling effects, but no one need be afraid,—all would end well, etc. It is not a difficult task to compose an effective piece to be called Night with the assistance of a grand orchestra as the main factor, and given an opening of quiet, monotonous tones, like Felicien David’s opening to his Desert, a lullaby, a lover’s serenade, and lots of such odds and ends, which any good man with a lively imagination can invent. At the Crystal Palace music of this sort was purring along and lulling people into reposeful security —all quiet as night should ever be—when suddenly the clang of real fire-bells was heard; people jumped from their seats; there was a big commotion ; fire and flames were seen apparently bursting from the roof of the Palace; ushers were rushing about telling people to sit down, for it was a part of the performance; the big doors were swung open, and in rushed two or three fire companies with their “machines,” hose, and great fire-ladders. These ladders were raised to the roof, and the firemen, in their traditional red flannel shirts and helmets, and carrying speaking-trumpets, climbed the ladders. Real water was squirted, glass was broken, cries, orders, every sort of noise concomitant of a fire was heard,—-plus the big orchestra, which was making a fearful din, sawing and blowing fortissimo through every possible diminished seventh that could be raked up out of the musical scale.
It lasted long enough to make the most tremendously red-peppered musical sensation that mortal ears ever heard.
It must be understood that all the previously distributed notices were not sufficient to prevent some timid souls from being alarmed. The noise and confusion created almost a panic. Some were fainting, others bursting with laughter, the cooler ones enthusiastically admiring the well-arranged piece. Finally, the fire was put out, the firemen with their machines retired, and the orchestra artistically prepared the audience for a song of praise and thanksgiving which came in the shape of Old Hundred played and sung, and joined in by the well-pleased audience. It was a ne plus ultra of realistic music",180u-Mm-uu,http://dbpedia.org/resource/New_York_City,http://data.open.ac.uk/led/performance/0768ec79e9640b943c9f152efe2c52fd/1450198201607,Indoor Accompanied Public,http://data.open.ac.uk/led/agent/Thomas+Ryan/1448997315048,Thomas Ryan,Performance,,
musicallettersf00unkngoog_djvu.txt,http://data.open.ac.uk/led/lexp/1448359608080,http://data.open.ac.uk/led/source/d056a211aabb93931825903e00af4612/excerpt/64b53309bcd0f98a833a8defdbc2f866,"All the churches have organs, but there is no choir in any of them, so that the singing is, as in most other German places, exclusively congregational. Of the several specimens we have heard, the best, perhaps, was at the Reformed Church.",1852-06-Mm,http://data.open.ac.uk/led/place/06e3de3de77d9ffc37f51e63e679237b,http://data.open.ac.uk/led/performance/99517086269cb7e1945c65d32fa05870/1448359584292,Public Indoor Accompanied,http://musicbrainz.org/artist/f422b99a-b48c-4bee-bc0c-f2e8cad82b6c#_,Dr. Lowell Mason Lowell Mason,Performance,http://dbpedia.org/resource/Pipe_organ http://data.open.ac.uk/led/thing/congregation,http://dbpedia.org/resource/Church_music
musicandmanners005622mbp_djvu.txt,http://data.open.ac.uk/led/lexp/1444079072687,http://data.open.ac.uk/led/source/523ef7154014c3a1cd8dcaefe61332c8/excerpt/a4d3057871e150ba676c88eb8ab67d4a,"Then it was that the Vienna Musical Union (Musik-Verein), with its mighty orchestra&nbsp;of two hundred and fifty first-class instrumentalists, had just attained its maximuim of effectiveness under Hans Eichter's gifted predecessor, Johann von Herbeck. Until it became my privilege to attend the Concerts of the Musik-Verein, I had never even dreamed of such an executant corporation or conceived such performances to be possible. All the leading artists — all the recognised “soloists"" of Vienna served in its ranks.
&nbsp;
&nbsp;
&nbsp;",180u-uu-uu,http://dbpedia.org/resource/Vienna,http://data.open.ac.uk/led/performance/8e8a9e39550a7cdc594697d32885ee2c/1446110106067,Public Accompanied,http://data.open.ac.uk/led/agent/William+Beatty-Kingston/1444079044346,William Beatty-Kingston,Performance,,
b22022235_0002_djvu.txt,http://data.open.ac.uk/led/lexp/1518778813446,http://data.open.ac.uk/led/source/9824a84dc8377e08007751f29edb726b/excerpt/3749d5d2fac846c97232e8106becd4e2,"   
On this last day of the year, there was a grand ceremony at the church of the Jesuits;—to sing out the old year—to offer up thanksgivings for all past blessings—and to solicit a renewal of them in the year to come. The crowd was immense, and the ceremony very impressive. There is a principle of equality in Catholic congregations, more consonant with the spirit of that religion which teaches that God is no respecter of persons, than the practice which prevails in our own church;—where the greatest distinction is made between the accommodations of the rich and the poor. The former are carefully separated from the contamination of the latter, into pews […] In the Catholic congregations there are no such invidious distinctions;—the rich and the poor kneel down together, on the same marble floor;—as children of the same Parent—to ask the same blessings, from their common Benefactor. All the congregation joined in the chant of thanksgiving, and I was deeply impressed by the touching solemnity of the ceremony. There is always something affecting in a large concourse of people participating in the same emotion; the feeling is heightened by the contagion of sympathy, and wound up to enthusiasm by the influence of numbers.",http://reference.data.gov.uk/id/day/1817-12-31,http://dbpedia.org/resource/Rome,http://data.open.ac.uk/led/performance/ae5132e6b2a8ac82bf25a3f5bd24c374/1518778755263,Indoor Accompanied Public,http://data.open.ac.uk/led/agent/Henry+Matthews/1518777337226,Henry Matthews,Performance,http://dbpedia.org/resource/Male_vocals http://dbpedia.org/resource/Female_vocals http://dbpedia.org/resource/Human_voice,http://data.open.ac.uk/led/musicgenre/sacred+vocal
musicandmanners005622mbp_djvu.txt,http://data.open.ac.uk/led/lexp/1451947311627,http://data.open.ac.uk/led/source/523ef7154014c3a1cd8dcaefe61332c8/excerpt/6d01ed5f7ea4bea765588ec9b3805fdf,"On the 15th of October, 1884, a jubilee celebration&nbsp;took place in Vienna at the Wieden Theatre, to commemorate the fortieth anniversary of the day upon which&nbsp;Johann Strauss, the ""Walzerkoenig,"" made his first&nbsp;public appearance in the character of an orchestral conductor. The stalls, boxes, and pit were crowded with&nbsp;the elite of Viennese society, fashionable, artistic, and&nbsp;literary...fill[ing] all the ""numbered''&nbsp;seats at the Wieden...&nbsp;whilst the galleries were thronged almost to suffocation by Strauss's most enthusiastic admirers — the true&nbsp;bom Viennese of the lower middle classes. Archduke&nbsp;William — who, being Grand Master of the Order of St.&nbsp;John, seldom shows himself in a theatre — occupied the&nbsp;Imperial Box, whilst King Milan of Servia sate out the&nbsp;whole performance in a ground-tier stage box, signifying&nbsp;his admiration for the bénéficiaire's talents and achievements by conferring upon him, towards the close of the&nbsp;evening, the Cross of the Takovo Order. The progranmie of the occasion consisted of selections from&nbsp;Strauss's operas, conducted by himself. His desk was&nbsp;converted for the nonce into a gorgeous flower-bed of the&nbsp;costliest exotics; and his appearance thereat, baton in&nbsp;hand, was the signal for a demonstration of affectionate&nbsp;rejoicing on the part of the audience, such as, according&nbsp;to the leading journals of the Kaiserstadt, has never&nbsp;before been witnessed within the walls of a Vienna&nbsp;theatre. He opened the entertainment with his bright&nbsp;little overture to Indigo — his first opera, produced at the&nbsp;Wieden Theatre about twenty years ago — which was&nbsp;rapturously re-demanded. Then came the first act of A&nbsp;Night in Venice, followed by the immortal Schoene blaue&nbsp;Donau during the entr'acte, which inimitable waltz&nbsp;brought down a shower of laurel wreaths upon its composer's head. The second act of Fledermaus with some&nbsp;additions to the dialogue written especially for the&nbsp;occasion, came next, and was succeeded by ""musical&nbsp;episodes "" from Spitzentuch, Methusalem, Cagliostro, Der Lustige Krieg and the Carnival in Rome,&nbsp;each successive&nbsp;number being supplemented by presentations of addresses,&nbsp;medals, and flowers.&nbsp;",http://reference.data.gov.uk/id/day/1884-10-15,,http://data.open.ac.uk/led/performance/11022dc1a652ff4a893eb439cdaa3939/1451947174697,Indoor Public Accompanied,http://data.open.ac.uk/led/agent/William+Beatty-Kingston/1444079044346 http://data.open.ac.uk/led/agent/Milian+I+of+Serbia/1451947039739,William Beatty-Kingston Milian I of Serbia,Performance,,http://dbpedia.org/resource/Classical_music
musicandfriends00gardgoog_djvu.txt,http://data.open.ac.uk/led/lexp/1432981745855,http://data.open.ac.uk/led/source/eb3814dadcbf87e5c350a393c462619f/excerpt/cbdafa7a2c38e901dd67ca5384609b3c,"Another object which claimed my attention, and to which I paid frequent visits, was a chime-clock, which played a tune every three hours. Its simple and plaintive melody always interested me, and the strong impression it made upon my mind now enables me to write it down from memory.",1773-uu-uu,,http://data.open.ac.uk/led/performance/84790f8c07a4a283145dadba45c8a655/1444722914558,Accompanied Indoor Domestic,http://bnb.data.bl.uk/id/person/GardinerWilliam1770-1853,William  Gardiner William Gardiner,Performance,http://data.open.ac.uk/led/chime+clock,
musicandmanners005622mbp_djvu.txt,http://data.open.ac.uk/led/lexp/1446500672476,http://data.open.ac.uk/led/source/523ef7154014c3a1cd8dcaefe61332c8/excerpt/ea0595711c7862ac1467eb3370634b5a,"On the following Tuesday, accordingly, I was in my accustomed stall [at the Hofoper] at seven precisely, &nbsp;[for a performance of Lohengrin (Hohe-Preise)]&nbsp;just in&nbsp;time to see my friend Carl Eckert take his place at the&nbsp;conductor's desk and look over his acolytes with a circular and severely-inquiring glance before executing the&nbsp;smart double rap that never failed to concentrate their&nbsp;attention upon the tip of his ebony baton [...] As was, and I believe still is, always&nbsp;the case on a Wagner night, the house was crowded&nbsp;throughout; fashion in the side-boxes and dress-circle;&nbsp;science and dilettantism in the stalls, abundantly provided with spectacles and full scores ; various grades of&nbsp;the musical bourgeoisie in the three tiers of upper boxes,&nbsp;and a host of appreciative proletarians in the cheap and&nbsp;capacious gallery. By the time the overture had come&nbsp;to an end every place available to the general public&nbsp;was occupied, and the temperature had risen to its customary tropical degree of elevation. ""If this,"" I found&nbsp;myself thinking, ""be the result of the new ventilation&nbsp;system, the Emperor, save for the honour of the thing,&nbsp;might just as well have saved his money."" Had the&nbsp;audience been exclusively composed of orchids they&nbsp;could not have been more congenially accommodated in&nbsp;the way of atmosphere. Henry the Fowler, however,&nbsp;had scarcely taken his seat under the shade of the Justice Tree, the public having meanwhile settled down to&nbsp;enjoy and perspire in compliance with hallowed Hofoper&nbsp;traditions, when suddenly piercing jets of iced air invaded the house from every direction simultaneously.&nbsp;The effect in the stalls was that of a lively breeze; persons located higher up in the house described their&nbsp;experiences to me subsequently as varying between a&nbsp;moderate gale and a circular wind-storm of no inconsiderable violence.&nbsp;",18Mm-uu-uu,http://dbpedia.org/resource/Berlin,http://data.open.ac.uk/led/performance/b6524ad7dd4e1cb39ef9483aac476168/1446500573314,Accompanied Public Indoor,http://data.open.ac.uk/led/agent/William+Beatty-Kingston/1444079044346,William Beatty-Kingston,Performance,,
cu31924022334563_djvu.txt,http://data.open.ac.uk/led/lexp/1438703994435,http://data.open.ac.uk/led/source/11af3c14fbf284f75e57bd48464328e5/excerpt/4fb66985597f8ef66185bd9f527e1d04,"
If the interest in Mademoiselle Lind's debut could have been heightened, I should have said that it was increased by the first appearance of the celebrated German bass singer, Staudigl, on the Italian boards, in his famous part of Bertram. His success in this character (for which indeed he had been expressly engaged) was as great as it was merited, although his pronunciation of the Italian language was defective. He was proclaimed the Bertram of the Italian stage, as he had been of the German, Still it was impossible for him to occupy his merited position in the operatic ""talk"" of the day, when the public mind was wholly and exclusively absorbed by one object — Jenny Lind.",1847-uu-uu,,http://data.open.ac.uk/led/performance/b7a3a8bc08cf20995a4d026b4ede75e7/1438703966231,Accompanied Indoor Public,http://data.open.ac.uk/led/person/Benjamin+Lumley/1438607277398 http://data.open.ac.uk/led/person/Queen+Victoria/1393599242108,Benjamin Lumley Queen Victoria,Performance,http://dbpedia.org/resource/Orchestra http://dbpedia.org/resource/Human_voice,http://dbpedia.org/resource/Opera
musicandfriends00gardgoog_djvu.txt,http://data.open.ac.uk/led/lexp/1433108969767,http://data.open.ac.uk/led/source/eb3814dadcbf87e5c350a393c462619f/excerpt/486a60e2635151b840614c6cc29600ea,"Our evening amusements commenced with music, and finished with merry games. Miss Barbara touched a sonata of Beethoven's with deep expression, in which that great composer deplores the loss of one most dear to him. It threw us into a pensive mood, when Carlton, to give a turn to such sensations, called upon me to sing the lines of his favourite poet, Sir Walter Raleigh, which harmonized with the incident of the day:—
O shepherd, what is love, I pray? / It is a yea--it is a nay ; / A pretty kind of sportive play ; / it is a thing will soon away. / Takes vantage, nymphs, while yet you may, / And this is love ! I hear you say.&nbsp;",179u-uu-uu,http://dbpedia.org/resource/Leicester,http://data.open.ac.uk/led/performance/ef7dd766685c10927c8681f2b582af5b/1444740897483,Domestic Indoor Accompanied,http://bnb.data.bl.uk/id/person/GardinerWilliam1770-1853,William  Gardiner William Gardiner,Performance,,http://dbpedia.org/resource/Sonata
